"","id","sent_time","day","email_id","open_time","predicted_values","residual_values"
"264",1300,1150,4,76,930,946.959766875487,-16.9597668754869
"265",368,1090,3,139,746,953.54363635559,-207.54363635559
"266",809,654,2,130,1127,929.79055919861,197.20944080139
"267",882,961,5,290,47,935.782754472926,-888.782754472926
"268",354,1090,3,139,667,953.54363635559,-286.54363635559
"269",1172,1150,4,124,791,949.250806707908,-158.250806707908
"270",987,1150,4,48,1208,945.623326973241,262.376673026759
"271",2015,881,5,86,950,920.322348613127,29.6776513868734
"272",739,654,2,130,1438,929.79055919861,508.20944080139
"273",1355,1150,4,307,711,957.985396069012,-246.985396069012
"274",2088,881,5,75,1091,919.79731865153,171.20268134847
"275",155,1090,3,155,1274,954.307316299731,319.692683700269
"276",562,1138,3,87,796,954.495768480341,-158.495768480341
"277",363,1138,3,211,705,960.414288047428,-255.414288047428
"278",1370,1150,4,245,1433,955.026136285468,477.973863714532
"279",972,1150,4,116,1192,948.868966735837,243.131033264163
"280",719,654,2,257,1248,935.852268755223,312.147731244777
"281",242,1090,3,69,789,950.202536599977,-161.202536599977
"282",832,961,5,290,1259,935.782754472926,323.217245527074
"283",916,1150,4,131,1158,949.584916683469,208.415083316531
"284",390,1090,3,139,980,953.54363635559,26.4563636444096
"285",1537,1131,3,294,1195,963.875072682605,231.124927317395
"286",111,1090,3,202,1176,956.550626135643,219.449373864357
"287",1709,1131,3,333,642,965.736542546447,-323.736542546447
"288",391,1090,3,139,980,953.54363635559,26.4563636444096
"289",1490,989,3,3,1063,939.826455033234,123.173544966766
"290",2331,881,5,321,853,931.538897792686,-78.5388977926865
"291",1601,1131,3,30,1255,951.274353604291,303.725646395709
"292",1643,1131,3,149,1332,956.954223188834,375.045776811166
"293",12,696,3,94,758,923.20761514554,-165.20761514554
"294",572,654,2,252,864,935.613618772679,-71.613618772679
"295",1367,1150,4,133,1053,949.680376676487,103.319623323513
"296",39,1014,3,102,1077,946.340314241355,130.659685758645
"297",1009,1150,4,116,1271,948.868966735837,322.131033264163
"298",1581,1131,3,322,1226,965.21151258485,260.78848741515
"299",1908,881,5,69,882,919.510938672478,-37.5109386724776
"300",131,1138,3,102,1199,955.211718427973,243.788281572027
"301",1476,989,3,3,1050,939.826455033234,110.173544966766
"302",605,654,2,149,1061,930.697429132276,130.302570867724
"303",1885,1131,3,2,64,949.937913702045,-885.937913702045
"304",1519,1131,3,131,1191,956.095083251676,234.904916748324
"305",1996,881,5,360,945,933.400367656528,11.5996323434717
"306",2134,881,5,285,603,929.820617918371,-326.820617918371
"307",237,1090,3,84,777,950.918486547608,-173.918486547608
"308",613,654,2,149,1120,930.697429132276,189.302570867724
"309",1599,1131,3,30,1255,951.274353604291,303.725646395709
"310",418,1090,3,139,107,953.54363635559,-846.54363635559
"311",1520,1131,3,296,1192,963.970532675622,228.029467324378
"312",2280,881,5,66,713,919.367748682951,-206.367748682951
"313",1913,881,5,461,883,938.221097303914,-55.2210973039136
"314",1869,1131,3,119,2,955.522323293571,-953.522323293571
"315",88,1090,3,97,1161,951.538976502222,209.461023497778
"316",2279,881,5,66,712,919.367748682951,-207.367748682951
"317",740,654,2,130,1438,929.79055919861,508.20944080139
